City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Visakhapatnam,2018-01-10,98.05,191.53,19.01,62.83,48.04,16.65,1.28,13.18,70.78,4.17,6.77,1.99,192.0,Moderate
Hyderabad,2018-10-22,66.82,144.33,10.4,51.4,35.41,17.06,0.72,9.47,27.86,3.99,40.01,7.44,125.0,Moderate
Amritsar,2020-02-11,84.93,187.15,17.48,10.4,26.72,12.02,0.3,9.07,35.77,2.31,2.22,2.0,190.0,Moderate
Delhi,2015-10-11,111.34,246.3,87.94,51.83,116.75,30.83,2.02,12.01,62.02,6.34,27.16,3.05,296.0,Poor
Amaravati,2019-04-15,23.75,68.9,1.94,11.38,7.46,3.49,0.64,18.42,19.94,0.33,2.13,0.18,84.0,Satisfactory
Visakhapatnam,2018-08-10,53.32,107.32,17.93,45.44,38.74,12.2,0.64,7.69,11.07,5.74,17.27,3.98,107.0,Moderate
Amritsar,2019-12-15,30.72,38.24,10.88,11.28,20.2,5.37,0.64,6.67,22.0,1.76,2.1,1.96,58.0,Satisfactory
Hyderabad,2015-10-21,84.18,113.0,3.68,3.3,5.79,11.18,1.25,7.79,30.27,1.75,11.76,2.28,212.0,Poor
Kolkata,2020-04-03,43.08,71.67,5.13,13.25,18.42,17.37,0.62,7.33,58.44,3.05,7.42,0.66,100.0,Satisfactory
Delhi,2019-07-02,71.68,233.25,7.78,28.13,23.43,27.24,0.99,12.02,64.82,2.08,18.29,0.41,202.0,Poor
Hyderabad,2016-01-23,66.16,97.42,5.23,13.23,17.06,10.5,0.99,8.42,48.7,0.48,3.42,0.09,118.0,Moderate
Visakhapatnam,2017-12-14,66.31,97.69,1.73,24.11,14.13,14.84,0.93,6.7,64.81,2.54,5.99,0.93,128.0,Moderate
Patna,2020-01-15,177.59,210.76,67.57,36.23,98.56,18.88,4.05,12.23,12.94,1.28,1.32,3.76,311.0,Very Poor
Hyderabad,2018-07-18,14.13,36.01,4.36,22.64,15.15,13.41,0.27,6.95,13.58,0.8,4.43,4.49,33.0,Good
Kolkata,2019-12-02,82.72,165.95,67.81,48.51,115.0,21.82,1.27,10.82,33.8,30.18,42.49,5.26,191.0,Moderate
Delhi,2018-04-02,96.38,241.96,26.07,48.52,64.03,43.29,1.22,16.54,64.33,3.33,4.77,0.0,217.0,Poor
Hyderabad,2017-03-05,31.06,69.14,7.81,19.79,6.75,15.43,0.14,14.85,55.32,0.05,0.92,0.17,102.0,Moderate
Amaravati,2019-01-07,121.47,215.5,17.24,103.31,68.98,13.63,1.5,16.53,24.55,0.12,0.31,0.1,302.0,Very Poor
Amaravati,2019-07-30,8.0,22.87,5.36,10.03,9.41,1.87,0.31,14.72,22.5,0.19,0.98,0.13,28.0,Good
Delhi,2018-04-14,97.16,235.01,42.69,59.41,73.26,39.49,2.12,15.77,47.69,2.45,4.84,0.0,233.0,Poor
Amaravati,2020-02-04,27.24,49.64,3.19,14.18,10.14,14.24,0.52,16.38,32.33,0.36,0.82,0.17,54.0,Satisfactory
Amaravati,2019-06-10,22.19,63.59,2.62,25.07,15.42,5.06,0.5,18.35,62.52,0.13,1.19,0.18,78.0,Satisfactory
Delhi,2018-10-25,168.82,368.33,97.53,72.23,120.26,45.37,2.35,22.51,62.29,9.42,88.49,3.59,356.0,Very Poor
